operator,run,case,first_npu,workers,route,seed,iteration,warmup,ingress_bytes,egress_bytes,complete_us,directional_gb_s,status,correct
D,plane_b_formal,w4_random_k8_gpu4,8,4,random_k8_gpu4,20260909,5,False,536870912,2147483648,35619.912,60.2888532684,0,True
D,plane_b_formal,w4_random_k8_gpu4,8,4,random_k8_gpu4,20260909,6,False,536870912,2147483648,33968.438,63.2199704914,0,True
D,plane_b_formal,w4_random_k8_gpu4,8,4,random_k8_gpu4,20260909,7,False,536870912,2147483648,40017.254,53.6639432581,0,True
D,plane_b_formal,w4_random_k8_gpu4,8,4,random_k8_gpu4,20260909,8,False,536870912,2147483648,37645.073,57.0455434633,0,True
D,plane_b_formal,w4_random_k8_gpu4,8,4,random_k8_gpu4,20260909,9,False,536870912,2147483648,35581.671,60.3536480341,0,True
D,plane_b_formal,w4_random_k8_gpu4,8,4,random_k8_gpu4,20260909,10,False,536870912,2147483648,36234.648,59.2660275877,0,True
D,plane_b_formal,w4_random_k8_gpu4,8,4,random_k8_gpu4,20260909,11,False,536870912,2147483648,35912.661,59.7973970239,0,True
D,plane_b_formal,w4_random_k8_gpu4,8,4,random_k8_gpu4,20260909,12,False,536870912,2147483648,34647.076,61.9816704879,0,True
C,combine_formal,w2_random_k2,8,2,random_k2,17,0,True,268435456,134217728,7087.513,37.8744216765,0,True
C,combine_formal,w2_random_k2,8,2,random_k2,17,1,True,268435456,134217728,6878.227,39.0268387478,0,True
C,combine_formal,w2_random_k2,8,2,random_k2,17,2,True,268435456,134217728,6894.271,38.9360174557,0,True
C,combine_formal,w2_random_k2,8,2,random_k2,17,3,False,268435456,134217728,6891.411,38.952176267,0,True
C,combine_formal,w2_random_k2,8,2,random_k2,17,4,False,268435456,134217728,6892.265,38.947349819,0,True
C,combine_formal,w2_random_k2,8,2,random_k2,17,5,False,268435456,134217728,6893.131,38.9424567733,0,True
C,combine_formal,w2_random_k2,8,2,random_k2,17,6,False,268435456,134217728,6866.667,39.0925402382,0,True
C,combine_formal,w2_random_k2,8,2,random_k2,17,7,False,268435456,134217728,6868.609,39.081487387,0,True
C,combine_formal,w2_random_k2,8,2,random_k2,17,8,False,268435456,134217728,6888.864,38.9665779438,0,True
C,combine_formal,w2_random_k2,8,2,random_k2,17,9,False,268435456,134217728,6860.464,39.1278863937,0,True
C,combine_formal,w2_random_k2,8,2,random_k2,17,10,False,268435456,134217728,6874.458,39.0482356573,0,True
C,combine_formal,w2_random_k2,8,2,random_k2,17,11,False,268435456,134217728,6879.867,39.0175356588,0,True
C,combine_formal,w2_random_k2,8,2,random_k2,17,12,False,268435456,134217728,6871.634,39.0642831094,0,True
C,combine_formal,w4_mixed_k,8,4,mixed_k,17,0,True,540082176,268435456,8113.299,66.5675178494,0,True
C,combine_formal,w4_mixed_k,8,4,mixed_k,17,1,True,540082176,268435456,7837.779,68.9075535302,0,True
C,combine_formal,w4_mixed_k,8,4,mixed_k,17,2,True,540082176,268435456,7847.817,68.8194151316,0,True
